screen_name,user_id,created_at,status_id,text,retweet_count,favorite_count,is_quote_status,quote_status_id,is_retweet,retweet_status_id,in_reply_to_status_status_id,in_reply_to_status_user_id,in_reply_to_status_screen_name,lang,source,media_id,media_url,media_url_expanded,urls,urls_display,urls_expanded,mentions_screen_name,mentions_user_id,symbols,hashtags,coordinates,place_id,place_type,place_name,place_full_name,country_code,country,bounding_box_coordinates,bounding_box_type
mathieubray,2319911498,2017-09-29T18:20:53Z,913830957211357185,@MannyElk paste0 bro!,0,2,FALSE,NA,FALSE,NA,NA,NA,NA,en,TweetDeck,NA,NA,NA,NA,NA,NA,MannyElk,956982167401320453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mathieubray,2319911498,2017-09-15T15:19:11Z,908711803693256704,@StefanWolejszo Sometimes its easier to just assume every hockey writer has been scooped up by them already 😉,0,1,FALSE,NA,FALSE,NA,908711523731873792,2170854158,StefanWolejszo,en,Twitter for Android,NA,NA,NA,NA,NA,NA,StefanWolejszo,2170854158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mathieubray,2319911498,2017-09-15T15:16:54Z,908711226791923713,@StefanWolejszo You haven't been hired by The Athletic yet?,0,0,FALSE,NA,FALSE,NA,908709709858959360,2170854158,StefanWolejszo,en,Twitter for Android,NA,NA,NA,NA,NA,NA,StefanWolejszo,2170854158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mathieubray,2319911498,2017-09-08T14:33:36Z,906163618047242246,@ml_han @mcgillu @HabsEOTP @TheAthleticTO ayyyyy congrats bud!,0,0,FALSE,NA,FALSE,NA,NA,NA,NA,en,TweetDeck,NA,NA,NA,NA,NA,NA,mcgillu HabsEOTP TheAthleticTO,18065266 196380056 778687957435764738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mathieubray,2319911498,2017-09-03T02:04:52Z,904163252694913024,"RT @CoachPearsonUM: Great to see Sidney Crosby and Nate Mackinnon wearing the Maize and Blue with Turco,Fox and Coach Muckalt. Go Blue ! ht…",433,0,FALSE,NA,TRUE,904150766755213312,NA,NA,NA,en,TweetDeck,NA,NA,NA,NA,NA,NA,CoachPearsonUM,3046795419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mathieubray,2319911498,2017-08-28T17:45:28Z,902225635870986241,@AdamWylde 👀 @TheAthleticMIN,0,1,FALSE,NA,FALSE,NA,902224603438866433,55121758,AdamWylde,und,Twitter for Android,NA,NA,NA,NA,NA,NA,AdamWylde TheAthleticMIN,55121758 807787372171718656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mathieubray,2319911498,2017-08-25T14:47:24Z,901093658904199168,Yup https://t.co/GNsu7WDqYr,0,0,TRUE,901079925179940869,FALSE,NA,NA,NA,NA,und,TweetDeck,NA,NA,NA,NA,twitter.com/Deadspin/statu…,https://twitter.com/Deadspin/status/901079925179940869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mathieubray,2319911498,2017-08-24T17:32:25Z,900772798016225282,The end credits of Mad Men made me realize that pretty much every song is a cover https://t.co/zQlxu8Rhza,0,0,TRUE,900511297766387713,FALSE,NA,NA,NA,NA,en,TweetDeck,NA,NA,NA,NA,twitter.com/VilinskiKonjic…,https://twitter.com/VilinskiKonjic/status/900511297766387713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mathieubray,2319911498,2017-08-22T16:05:33Z,900026161513869312,"@IneffectiveMath Classic. Well I tinker with Python from time to time, but RStudio just makes everything so darn easy.",0,0,FALSE,NA,FALSE,NA,900025136098705409,1169454493,IneffectiveMath,en,TweetDeck,NA,NA,NA,NA,NA,NA,IneffectiveMath,1169454493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mathieubray,2319911498,2017-08-22T16:00:04Z,900024784381243395,@IneffectiveMath which IDE (if any) do you use for Python?,0,0,FALSE,NA,FALSE,NA,900022983858761730,1169454493,IneffectiveMath,en,TweetDeck,NA,NA,NA,NA,NA,NA,IneffectiveMath,1169454493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mathieubray,2319911498,2017-08-09T17:58:08Z,895343454720544771,Probably my biggest pet peeve right here. Time your talks in advance folks! https://t.co/cOr1YeVvW9,0,3,TRUE,895339096767332352,FALSE,NA,NA,NA,NA,en,TweetDeck,NA,NA,NA,NA,twitter.com/juliasilge/sta…,https://twitter.com/juliasilge/status/895339096767332352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mathieubray,2319911498,2017-07-27T14:41:19Z,890582879004225537,"@CraigCustance @VICESports @mirtle This might be very niche, but any plans for college hockey coverage?",0,0,FALSE,NA,FALSE,NA,890582274516946945,19050793,CraigCustance,en,TweetDeck,NA,NA,NA,NA,NA,NA,CraigCustance VICESports mirtle,19050793 370871493 17071845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mathieubray,2319911498,2017-07-27T14:36:48Z,890581741345411072,The shuttering of @VICESports was the last straw for me. Looking forward to supporting good content @mirtle… https://t.co/s8BlF0IvAY,0,2,FALSE,NA,FALSE,NA,NA,NA,NA,en,TweetDeck,NA,NA,NA,NA,twitter.com/i/web/status/8…,https://twitter.com/i/web/status/890581741345411072,VICESports mirtle,370871493 17071845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mathieubray,2319911498,2017-07-24T17:52:52Z,889543923047256065,@twolinepass edward sharpe and the magnetic zeros?,0,2,FALSE,NA,FALSE,NA,889542865369673728,15858396,twolinepass,en,TweetDeck,NA,NA,NA,NA,NA,NA,twolinepass,15858396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mathieubray,2319911498,2017-07-24T16:45:37Z,889526998326009857,@JoshuaCooper You should come back when the art fair isn't going on. You'll have more space to breathe!,0,0,FALSE,NA,FALSE,NA,889524229762306048,16409656,JoshuaCooper,en,TweetDeck,NA,NA,NA,NA,NA,NA,JoshuaCooper,16409656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mathieubray,2319911498,2017-07-22T19:08:27Z,888838168551845889,"Also, from a few months ago, NCAA men's hockey hometown maps, for the heck of it https://t.co/S8vO85Opeu",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,en,TweetDeck,NA,NA,NA,NA,mathieubray.github.io/2017/05/24/NCA…,https://mathieubray.github.io/2017/05/24/NCAA-Hockey-Maps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
